step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,741.921,841.092,520.690,670187520,4.51,134.533,86.698
2,256,252.141,554.543,86.129,448008192,10.19,110.596,55.417
3,256,276.450,634.383,87.493,516059136,14.21,125.549,63.408
4,256,372.176,363.063,265.030,285880320,19.36,71.789,35.357
5,256,192.850,357.125,86.183,283791360,23.73,72.048,34.620
6,256,192.999,357.110,85.529,287096832,27.43,71.043,36.428
7,256,290.884,241.051,219.980,170704896,31.33,50.576,20.329
8,256,192.617,348.446,90.663,278925312,34.10,67.293,34.660
9,256,205.727,411.103,83.199,329932800,36.27,82.745,39.784
10,256,204.568,408.745,83.200,325472256,38.20,81.878,39.490
11,256,185.704,347.377,82.591,272781312,40.18,70.697,32.416
12,256,358.527,243.672,284.622,174821376,42.42,51.850,22.054
13,256,230.154,485.861,85.651,391372288,43.52,96.412,48.091
14,256,173.511,295.372,85.338,234639360,45.15,59.620,28.554
15,256,475.217,639.184,283.108,499077120,45.56,129.868,62.241
16,256,366.401,318.858,263.827,216551424,47.06,54.995,47.579
17,256,140.902,174.145,85.025,142012416,48.69,38.038,17.839
18,256,370.340,250.631,291.708,195514368,49.99,52.815,25.817
19,256,224.044,472.372,86.510,370913280,50.62,91.573,45.962
20,256,162.072,257.161,84.892,207396864,51.73,51.572,25.607
21,256,159.030,255.040,81.982,203513856,52.77,52.676,24.372
22,256,131.083,149.872,83.514,122535936,53.99,31.546,16.023
23,256,124.821,132.196,83.037,98598912,55.19,29.029,12.754
24,256,172.226,302.379,81.355,234467328,55.93,62.639,28.232
25,256,133.760,172.262,80.573,137895936,56.91,36.447,16.741
26,256,128.658,144.391,83.526,110481408,57.89,31.363,13.769
27,256,134.444,177.684,80.499,139984896,58.73,37.062,16.883
28,256,129.828,159.287,78.776,123346944,59.58,36.048,15.003
29,256,135.239,156.479,83.261,127463424,60.37,36.611,15.366
30,256,105.926,79.363,79.032,57790464,61.29,19.116,7.778
31,256,119.762,126.295,80.021,99581952,62.06,27.402,12.339
32,256,131.311,147.901,84.453,116219904,62.75,33.294,13.564
33,256,114.450,74.583,89.745,56340480,63.54,17.851,6.854
34,256,271.938,602.227,103.544,470962176,63.39,114.313,54.081
35,256,280.930,599.015,107.959,470962176,63.25,118.878,54.094
36,256,250.034,563.705,84.927,446152704,63.17,111.064,54.044
37,256,171.987,301.782,82.784,238522368,63.51,60.352,28.851
38,256,137.418,172.480,84.325,138940416,64.04,35.555,17.538
39,256,171.009,300.104,81.174,239566848,64.35,61.646,28.189
40,256,142.593,185.566,85.044,146128896,64.81,39.557,17.992
41,256,203.344,389.908,87.276,309817344,64.97,78.627,37.441
42,256,430.664,583.203,259.919,461512704,64.84,113.668,57.077
43,256,263.375,605.513,86.157,487305216,64.67,117.563,59.656
44,256,152.484,230.265,82.913,182587392,65.03,47.083,22.488
45,256,165.378,269.584,84.757,215568384,65.33,54.505,26.116
46,256,134.737,178.570,79.136,137318400,65.74,38.881,16.720
47,256,132.072,148.050,84.462,115580928,66.18,33.781,13.829
48,256,165.429,218.916,96.846,170127360,66.51,49.766,18.816
49,256,190.140,310.819,95.781,245305344,66.71,67.056,27.303
50,256,194.932,340.055,96.956,265592832,66.87,68.301,29.675
51,256,198.640,344.298,101.627,264843264,67.02,67.541,29.472
52,256,170.812,257.833,91.727,199974912,67.27,56.697,22.388
53,256,176.657,281.458,96.918,220729344,67.48,54.180,25.559
54,256,143.715,121.958,101.895,93843456,67.87,31.020,10.800
55,256,115.838,96.789,84.819,72744960,68.28,21.805,9.214
56,256,124.875,135.151,82.933,100626432,68.64,28.923,13.018
57,256,436.579,459.189,302.025,351092736,68.63,92.230,42.324
58,256,133.733,152.722,88.530,117841920,68.94,29.484,15.720
59,256,106.140,65.120,84.306,49385472,69.34,14.919,6.915
60,256,138.218,188.243,80.237,151867392,69.59,39.443,18.538
61,256,223.739,468.837,85.674,373985280,69.55,92.659,45.407
62,256,180.270,321.578,84.632,255160320,69.65,64.252,31.386
63,256,141.984,166.701,87.251,129318912,69.91,38.974,15.760
64,256,144.401,144.632,91.715,110481408,70.19,40.739,11.947
65,256,174.934,261.978,95.553,207802368,70.34,56.819,22.562
66,256,384.864,941.372,107.327,747220992,69.83,190.690,86.846
67,256,213.154,383.402,101.279,300023808,69.87,79.217,32.658
68,256,181.650,281.208,96.194,218468352,70.01,61.307,24.148
69,256,199.666,342.090,105.197,264781824,70.08,66.703,27.766
70,256,200.518,343.355,98.153,269475840,70.16,71.963,30.402
71,256,147.666,160.191,92.185,126652416,70.39,41.464,14.017
72,256,172.202,239.873,100.805,188964864,70.55,50.295,21.102
73,256,209.922,369.216,97.384,270692352,70.61,81.404,31.134
74,256,188.640,281.646,102.622,211279872,70.74,63.101,22.916
75,256,197.052,335.807,102.794,260493312,70.81,65.204,29.054
76,256,254.622,523.240,112.935,400306176,70.72,95.910,45.777
77,256,186.366,326.413,89.633,258404352,70.79,63.756,32.977
78,256,138.091,172.401,84.167,139751424,70.98,36.725,17.199
79,256,178.799,315.804,83.729,250404864,71.06,64.866,30.204
80,256,444.183,608.184,266.953,480694272,70.90,119.550,57.681
81,256,156.845,190.398,98.878,147345408,71.08,42.094,15.873
82,256,343.866,866.513,86.859,692035584,70.71,173.732,83.275
83,256,226.732,478.244,86.670,371380224,70.66,94.651,45.411
84,256,473.726,595.833,298.702,459485184,70.52,118.125,56.900
85,256,171.511,277.754,86.421,223973376,70.63,56.953,28.136
86,256,227.950,472.049,89.996,377462784,70.58,91.379,46.575
87,256,153.496,222.457,85.703,179109888,70.72,45.314,22.479
88,256,126.991,138.610,82.936,108797952,70.92,30.171,13.884
