step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,564.547,602.008,394.251,492924928,5.44,110.494,59.803
2,256,317.837,620.915,117.768,512897024,9.50,134.770,65.299
3,256,211.021,284.780,108.306,239239168,15.47,76.878,25.837
4,256,305.105,511.555,126.950,415444992,18.89,124.568,53.587
5,256,244.375,337.510,118.418,269467648,22.96,94.014,31.943
6,256,234.169,305.406,125.345,246480896,26.64,79.918,28.907
7,256,234.849,258.194,134.787,203112448,30.13,76.144,23.918
8,256,205.631,214.510,117.176,165486592,33.42,70.604,17.851
9,256,196.947,192.778,123.237,145915904,36.42,58.468,15.241
10,256,233.816,258.746,136.883,198627328,38.79,73.374,23.559
11,256,267.238,231.233,170.985,189968384,40.95,73.988,22.266
12,256,190.527,156.256,115.696,122916864,43.28,60.643,14.187
13,256,205.788,126.794,139.488,104050688,45.46,54.130,12.169
14,256,190.189,113.946,134.555,94605312,47.48,44.261,11.373
15,256,172.350,144.511,109.302,122138624,49.21,48.718,14.330
16,256,150.966,43.809,118.995,40456192,51.15,27.135,4.835
17,256,143.716,72.300,105.253,65683456,52.82,30.360,8.102
18,256,176.058,83.562,134.161,63705088,54.39,34.144,7.753
19,256,141.845,70.683,105.939,59191296,55.85,28.357,7.549
20,256,150.190,52.658,117.411,54890496,57.21,25.637,7.141
21,256,234.064,234.196,130.482,187858944,58.01,81.876,21.706
22,256,153.452,92.759,107.212,86659072,59.10,35.386,10.853
23,256,174.449,51.906,138.088,47661056,60.26,31.176,5.185
24,256,163.854,73.094,121.120,63524864,61.29,36.364,6.370
25,256,141.628,42.240,115.758,41857024,62.33,21.456,4.414
26,256,179.172,135.076,118.992,116219904,63.06,47.567,12.613
27,256,188.050,176.773,121.265,140939264,63.70,52.585,14.199
28,256,147.944,54.871,118.742,50552832,64.56,24.425,4.777
29,256,305.681,562.513,127.776,460636160,64.19,129.949,47.956
30,256,161.395,75.212,123.078,69390336,64.94,31.087,7.230
31,256,156.591,68.360,118.144,64208896,65.66,31.170,7.277
32,256,154.611,93.126,115.897,75231232,66.33,31.811,6.904
33,256,216.773,249.950,122.810,205111296,66.62,73.481,20.483
34,256,281.331,388.061,141.484,303570944,66.67,108.899,30.948
35,256,229.088,249.633,132.768,192233472,66.98,76.412,19.908
36,256,276.365,445.668,128.624,343633920,66.90,112.837,34.905
37,256,225.998,227.709,134.984,186384384,67.20,72.812,18.202
38,256,212.944,270.237,113.066,231784448,67.38,73.089,26.789
39,256,230.790,290.771,122.693,223973376,67.58,82.848,25.250
40,256,201.643,257.544,106.671,201646080,67.82,72.245,22.727
41,256,228.906,230.198,129.806,171945984,68.11,79.682,19.418
42,256,191.482,202.708,110.436,172068864,68.40,60.709,20.337
43,256,194.862,233.643,109.247,184225792,68.64,64.935,20.680
44,256,185.587,198.463,106.401,155340800,68.93,61.439,17.747
45,256,199.641,150.221,132.466,118407168,69.28,54.358,12.817
46,256,147.994,106.701,106.419,83058688,69.69,31.504,10.071
47,256,168.933,26.581,147.045,20238336,70.20,18.594,3.293
48,256,164.100,136.728,106.878,118435840,70.51,43.149,14.073
49,256,219.195,188.368,134.467,156700672,70.73,68.401,16.327
50,256,220.423,231.621,127.324,184885248,70.90,73.565,19.534
51,256,214.097,210.989,124.923,176283648,71.08,70.656,18.519
52,256,190.544,125.041,125.284,117710848,71.36,52.539,12.721
53,256,197.735,137.121,131.735,117108736,71.63,54.443,11.557
54,256,216.721,303.409,112.609,246190080,71.66,75.728,28.384
55,256,249.427,382.067,118.302,314990592,71.59,94.160,36.964
56,256,177.841,169.723,110.342,136450048,71.80,52.019,15.480
57,256,167.627,148.802,107.040,122793984,72.04,45.846,14.741
58,256,190.171,138.528,126.506,110649344,72.29,51.522,12.142
59,256,178.219,134.555,124.314,96845824,72.56,43.886,10.019
60,256,296.679,565.814,122.793,434511872,72.27,126.535,47.350
61,256,243.525,326.518,122.846,259342336,72.28,91.180,29.500
62,256,243.385,366.518,112.283,307691520,72.21,95.923,35.178
63,256,265.459,404.403,124.031,319287296,72.14,105.141,36.287
64,256,186.137,117.655,122.997,100425728,72.38,50.312,12.828
65,256,169.004,149.795,108.891,121311232,72.58,45.996,14.117
66,256,262.121,379.454,126.109,307675136,72.51,101.150,34.863
