step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
99,256,125.832,143.730,76.041,128274432,74.08,34.318,15.473
100,256,116.814,139.233,71.168,122941440,74.19,30.603,15.042
101,256,120.290,116.741,76.711,104509440,74.31,31.983,11.596
102,256,138.943,152.894,82.777,145723392,74.38,39.964,16.202
103,256,94.866,53.971,73.742,44052480,74.56,14.610,6.514
104,256,113.881,114.741,73.935,93671424,74.69,27.755,12.192
105,256,119.174,121.559,75.828,113725440,74.79,28.856,14.491
106,256,371.725,249.496,292.921,213307392,74.79,52.498,26.307
107,256,162.995,250.858,80.958,251387904,74.75,51.561,30.476
108,256,101.127,76.354,72.949,67006464,74.90,19.242,8.936
109,256,151.165,208.886,82.008,195919872,74.91,45.673,23.484
110,256,138.897,180.673,76.879,168443904,74.96,41.303,20.715
111,256,110.259,85.075,78.609,73555968,75.09,22.310,9.340
112,256,115.476,100.447,79.008,88104960,75.21,25.375,11.093
113,256,205.045,418.660,77.597,410910720,75.01,79.005,48.442
114,256,160.632,267.228,76.515,243449856,74.97,54.940,29.178
115,256,180.088,325.783,77.474,319905792,74.86,64.616,37.998
116,256,121.757,135.293,74.990,118013952,74.95,32.171,14.596
117,256,159.370,239.377,82.499,233594880,74.93,50.363,26.508
118,256,173.646,275.405,89.484,272314368,74.88,54.354,29.808
119,256,200.264,229.401,118.796,215162880,74.87,57.292,24.177
120,256,125.772,123.896,80.264,107986944,74.97,33.997,11.510
121,256,135.308,158.264,81.797,143056896,75.03,37.263,16.248
122,256,145.676,144.565,87.951,139751424,75.09,42.386,15.338
123,256,119.963,70.783,88.349,53501952,75.23,25.388,6.226
124,256,167.294,258.944,84.088,254926848,75.19,55.027,28.179
125,256,180.428,228.432,102.815,219045888,75.18,53.092,24.520
126,256,129.509,159.122,74.462,146300928,75.23,37.228,17.819
127,256,149.631,224.922,76.317,209829888,75.23,48.483,24.831
128,256,132.496,128.104,83.404,109842432,75.31,35.746,13.347
129,256,119.696,98.404,81.346,88104960,75.42,28.790,9.559
130,256,149.135,183.691,86.942,168677376,75.45,43.764,18.430
131,256,156.296,186.810,90.424,168849408,75.48,47.966,17.906
132,256,152.116,214.196,83.179,210640896,75.48,46.523,22.414
133,256,149.170,190.614,87.548,174587904,75.50,43.995,17.626
134,256,157.149,219.287,88.659,212496384,75.50,44.194,24.296
135,256,123.590,114.445,81.742,106131456,75.58,28.519,13.329
136,256,141.465,176.302,82.008,158011392,75.62,42.113,17.344
137,256,171.139,138.823,115.791,125202432,75.68,40.900,14.447
138,256,113.487,91.703,79.931,76861440,75.78,23.167,10.388
139,256,128.958,161.312,75.404,144678912,75.83,35.886,17.667
140,256,133.848,172.873,76.195,160444416,75.86,38.301,19.352
141,256,101.895,73.332,75.266,59817984,75.98,18.615,8.015
142,256,100.695,61.826,76.287,54718464,76.09,16.854,7.554
143,256,96.695,60.112,74.507,46313472,76.22,15.757,6.432
144,256,158.088,234.810,77.235,230289408,76.19,54.263,26.590
145,256,136.131,140.521,84.339,122130432,76.25,37.950,13.842
146,256,132.148,102.425,94.342,85843968,76.34,28.246,9.560
147,256,334.864,36.911,318.414,24170496,76.48,12.451,3.998
148,256,151.392,195.775,84.806,180965376,76.49,44.199,22.387
149,256,127.547,160.243,74.693,144678912,76.53,35.177,17.677
150,256,123.058,121.452,81.580,104509440,76.59,28.989,12.489
151,256,96.950,48.458,77.105,42196992,76.71,13.962,5.883
152,256,133.282,171.249,76.033,157777920,76.74,38.109,19.139
153,256,93.381,53.328,74.985,44863488,76.85,12.405,5.992
154,256,83.736,26.557,73.583,20287488,76.98,6.879,3.274
155,256,119.987,102.692,80.923,91176960,77.05,28.448,10.616
156,256,102.989,51.019,81.933,44863488,77.16,16.050,5.006
157,256,189.616,291.663,94.155,280780800,77.09,63.963,31.498
158,256,169.807,262.294,88.788,245071872,77.06,54.424,26.595
159,256,160.588,230.045,87.594,219045888,77.04,49.059,23.936
160,256,113.735,78.006,81.328,69672960,77.12,24.789,7.617
161,256,85.363,20.110,75.689,14143488,77.25,7.640,2.034
162,256,104.396,82.700,73.747,68861952,77.33,21.065,9.584
163,256,81.237,21.771,73.394,14143488,77.46,5.383,2.460
164,256,96.748,60.321,75.113,51007488,77.55,14.413,7.222
165,256,103.959,48.306,83.830,40169472,77.65,14.347,5.782
166,256,294.569,25.268,283.921,14548992,77.77,7.619,3.030
167,256,129.945,114.647,88.297,93032448,77.83,29.152,12.497
168,256,95.922,53.088,74.556,44052480,77.93,14.790,6.576
169,256,132.909,171.496,73.974,153083904,77.95,40.019,18.915
170,256,168.621,299.077,73.414,288374784,77.88,62.985,32.222
171,256,109.515,102.060,74.326,87527424,77.94,23.465,11.724
172,256,148.453,197.608,82.428,177082368,77.94,44.900,21.125
173,256,129.494,135.168,83.182,115408896,77.99,31.653,14.660
174,256,171.025,305.095,75.783,299212800,77.91,60.163,35.080
175,256,160.158,272.117,73.680,254521344,77.86,56.942,29.536
176,256,105.271,90.166,75.269,76627968,77.93,20.293,9.710
177,256,136.646,136.055,88.065,127635456,77.97,32.773,15.808
178,256,150.663,215.063,83.713,198180864,77.96,42.194,24.756
179,256,110.251,81.507,79.441,70889472,78.04,21.624,9.186
180,256,160.116,233.317,84.968,210874368,78.02,49.057,26.090
181,256,399.691,470.352,255.174,482205696,77.83,86.147,58.371
182,256,153.828,246.177,75.692,237305856,77.79,49.916,28.220
183,256,128.974,153.846,76.715,140795904,77.82,35.031,17.228
184,256,146.905,214.023,76.338,204091392,77.81,46.214,24.353
185,256,158.401,250.664,78.021,244494336,77.77,50.905,29.475
186,256,109.020,84.454,76.936,70889472,77.84,22.364,9.720
187,256,90.510,42.486,74.559,31358976,77.94,11.231,4.720
188,256,111.366,83.781,81.302,70889472,78.01,20.719,9.345
189,256,90.704,42.356,74.916,36052992,78.10,10.506,5.283
190,256,120.416,122.645,75.544,109436928,78.14,31.291,13.581
191,256,173.746,304.825,76.387,303329280,78.07,61.685,35.674
192,256,102.017,60.181,78.450,48979968,78.15,16.351,7.216
193,256,97.034,32.968,81.883,25620480,78.24,11.177,3.974
194,256,98.069,57.438,75.592,48979968,78.32,15.377,7.101
195,256,89.324,34.351,75.632,27242496,78.41,9.206,4.486
196,256,93.006,35.068,79.256,26431488,78.50,10.432,3.317
197,256,81.151,16.448,73.490,12288000,78.60,5.317,2.344
198,256,155.020,247.199,77.026,230178816,78.56,50.700,27.295
199,256,161.900,259.236,79.023,245071872,78.53,53.060,29.817
200,256,127.994,132.348,80.067,117202944,78.56,33.196,14.731
201,256,175.644,317.624,75.216,309239808,78.49,64.799,35.628
202,256,159.648,260.547,76.412,249765888,78.45,53.026,30.210
203,256,128.326,159.013,74.807,143056896,78.47,36.433,17.085
204,256,161.193,229.528,87.166,217251840,78.45,47.291,26.736
205,256,128.563,125.252,83.949,115347456,78.49,31.981,12.634
206,256,115.264,91.868,81.236,75005952,78.54,26.912,7.115
207,256,122.106,100.413,81.716,90771456,78.59,29.613,10.777
208,256,98.777,33.634,83.154,23764992,78.68,12.722,2.901
209,256,130.494,122.479,87.190,105959424,78.72,31.280,12.024
210,256,91.676,35.426,77.592,24809472,78.80,11.167,2.917
211,256,115.177,71.065,85.317,61906944,78.86,23.170,6.690
212,256,86.677,23.050,78.085,18026496,78.95,5.997,2.594
