# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb drop_cold_frac=0.5
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,615.199,434.982,497.471,273666048,6.74,77.944,39.785,3734,2020.178,-1.000,0,14.59,3000.0,3287.4,3102.8,184.2,274.7,1550.5,225.7,8331.5
2,2048,513.271,155.462,460.758,90611712,14.74,36.908,15.604,13,1587.575,-1.000,0,0.05,3000.0,3285.5,3103.3,181.8,274.6,1570.0,269.7,8323.4
3,2048,243.547,358.623,132.336,238510080,19.03,75.472,35.739,4,882.427,1.000,0,0.02,3000.0,3286.0,3103.8,181.8,274.6,1575.1,263.6,8324.4
4,2048,199.194,238.224,127.726,155676672,23.76,48.861,22.607,1,725.087,1.000,0,0.00,3000.0,3284.9,3102.7,181.8,274.6,1582.9,308.2,8317.4
5,2048,233.033,316.391,130.267,212103168,26.86,72.752,30.014,1,843.678,1.000,0,0.00,3000.0,3284.9,3102.7,181.8,274.7,1574.2,320.4,8313.6
6,2048,196.524,225.936,127.237,142774272,30.49,47.380,21.906,12,673.346,1.000,0,0.05,3000.0,3284.7,3102.5,181.8,274.7,1564.8,312.1,8313.7
7,2048,506.882,258.536,429.412,161132544,33.33,54.254,23.216,2,1644.991,1.000,0,0.01,3000.0,3285.3,3103.1,181.8,274.7,1552.8,321.3,8312.5
8,2048,165.241,134.936,121.750,88719360,36.73,30.156,13.335,0,562.199,1.000,0,0.00,3000.0,3284.2,3102.0,181.8,274.7,1546.5,314.9,8313.0
9,2048,181.259,148.524,132.841,91312128,39.59,34.038,14.380,0,652.853,1.000,0,0.00,3000.0,3285.7,3103.5,181.8,274.7,1541.5,305.4,8313.2
10,2048,499.983,235.319,424.003,146337792,41.61,53.668,22.312,12,1646.714,1.000,0,0.05,3000.0,3284.8,3102.6,181.8,274.6,1544.1,302.9,8337.7
11,2048,210.927,252.187,130.239,163885056,43.23,56.045,24.642,0,755.079,1.000,0,0.00,3000.0,3284.5,3102.3,181.8,274.6,1529.5,274.2,8339.4
12,2048,214.185,165.439,160.601,103194624,45.26,37.462,16.123,0,769.566,1.000,0,0.00,3000.0,3285.1,3102.9,181.8,274.6,1531.0,254.4,8339.9
13,2048,240.178,176.504,185.140,104054784,47.07,39.471,15.567,0,783.568,1.000,0,0.00,3000.0,3284.6,3102.4,181.8,274.6,1584.1,251.1,8342.9
14,2048,289.380,163.552,242.386,106487808,48.73,32.236,14.757,12,935.419,1.000,0,0.05,3000.0,3282.7,3102.2,180.0,274.6,1591.4,310.4,8334.7
15,2048,252.130,337.648,155.419,209031168,49.45,65.616,31.096,0,882.448,1.000,0,0.00,3000.0,3284.0,3103.6,180.0,274.6,1603.0,291.3,8342.7
16,2048,187.455,184.082,128.107,118419456,50.65,42.310,17.038,0,673.740,1.000,0,0.00,3000.0,3283.9,3103.5,180.0,274.6,1600.2,287.4,8342.7
17,2048,220.529,174.952,163.404,106647552,51.87,42.581,14.544,0,660.369,1.000,0,0.00,3000.0,3283.3,3102.8,180.0,274.6,1549.8,204.6,8346.9
18,2048,1954.329,175.002,1891.499,101572608,53.07,44.297,18.533,12,5585.705,1.000,0,0.05,3000.0,3261.9,3085.3,176.2,291.3,1550.8,287.2,8310.1
19,2048,213.430,263.664,135.945,172634112,53.67,51.437,26.049,0,754.357,1.000,0,0.00,3000.0,3266.0,3089.5,176.2,286.9,1510.8,247.1,8314.8
20,2048,241.139,129.582,200.588,82833408,54.80,25.562,14.989,0,731.976,1.000,0,0.00,3000.0,3266.6,3090.0,176.2,286.4,1530.9,223.0,8321.3
21,2048,209.061,156.443,157.467,95416320,55.79,35.983,15.611,0,706.914,1.000,0,0.00,3000.0,3267.2,3090.6,176.2,286.2,1540.2,201.3,8326.9
22,2048,741.955,213.231,681.553,128409600,56.54,40.417,19.984,12,2325.930,1.000,0,0.05,3000.0,3231.4,3055.0,176.0,321.5,1532.9,181.9,8334.6
23,2048,186.776,169.522,132.176,109129728,57.28,38.729,15.872,0,654.611,1.000,0,0.00,3000.0,3232.5,3056.0,176.0,320.6,1536.5,224.4,8329.1
24,2048,198.039,121.232,158.973,75436032,58.19,26.991,12.074,0,669.703,1.000,0,0.00,3000.0,3227.8,3051.3,176.0,325.6,1531.9,219.3,8327.7
25,2048,190.883,96.959,157.962,60100608,59.16,22.130,10.791,0,620.270,1.000,0,0.00,3000.0,3222.1,3045.7,176.0,331.8,1524.4,211.3,8321.5
26,2048,175.722,101.040,143.916,60530688,60.05,22.712,9.094,12,582.086,1.000,0,0.05,3000.0,3210.4,3034.0,176.0,343.4,1517.7,204.5,8310.5
27,2048,178.245,151.759,132.477,77918208,60.79,32.330,13.438,0,599.775,1.000,0,0.00,3000.0,3218.7,3042.2,176.0,334.7,1528.8,227.6,8314.9
28,2048,166.442,99.978,130.956,59129856,61.64,25.988,9.498,498,562.915,1.000,0,1.95,3000.0,3219.9,3044.0,175.4,333.2,1535.5,272.9,8312.1
29,2048,319.233,148.373,271.551,86396928,62.29,34.596,13.086,1652,1035.209,1.000,0,6.45,3000.0,3211.5,3035.8,175.3,342.4,1544.1,306.3,8300.0
30,2048,207.914,248.887,135.792,164585472,62.54,47.525,24.598,2328,745.726,1.000,0,9.09,3000.0,3222.4,3046.7,175.3,331.1,1526.0,288.2,8311.6
31,2048,529.576,326.524,429.492,212484096,62.57,65.853,34.231,0,1738.869,1.000,0,0.00,3000.0,3242.8,3067.1,175.3,310.7,1507.3,255.8,8332.7
32,2048,591.115,182.303,533.468,106106880,63.05,40.005,17.642,0,1750.572,1.000,0,0.00,3000.0,3215.6,3040.8,174.4,336.2,1513.7,192.6,8318.8
33,2048,760.233,130.847,718.418,70090752,63.68,29.079,12.736,1080,2379.298,1.000,0,4.22,3000.0,3195.2,3020.3,174.4,357.7,1524.6,271.7,8291.2
34,2048,195.697,199.478,133.165,132403200,64.02,40.878,21.654,19,704.313,1.000,0,0.07,3000.0,3199.0,3024.1,174.4,354.5,1517.3,264.4,8294.6
35,2048,252.802,128.401,209.214,69120000,64.57,32.110,11.478,0,864.320,1.000,0,0.00,3000.0,3197.5,3022.6,174.4,355.4,1504.0,255.8,8297.2
36,2048,420.284,150.342,375.556,96768000,65.01,23.147,21.580,3,1303.486,1.000,0,0.01,3000.0,3224.2,3049.4,174.4,328.5,1513.8,280.0,8319.8
