# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb drop_cold_frac=1
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,301.070,422.189,178.094,273666048,6.74,82.690,40.285,2826,1012.117,-1.000,0,11.04,3000.0,3239.1,3103.3,135.5,274.2,1304.2,370.4,8067.4
2,2048,171.662,63.451,150.574,37638144,14.93,14.941,6.147,15,514.324,-1.000,0,0.06,3000.0,3235.5,3100.6,134.6,277.5,1308.3,392.4,8060.9
3,2048,136.601,91.126,105.650,56537088,19.85,21.355,9.596,135,395.307,1.000,0,0.53,3000.0,3237.9,3103.0,134.6,275.6,1305.1,390.6,8061.7
4,2048,183.940,113.785,144.024,68468736,24.51,29.413,10.502,3,563.324,1.000,0,0.01,3000.0,3236.0,3101.1,134.6,276.7,1308.1,394.8,8059.6
5,2048,148.431,113.539,110.376,67497984,28.39,26.414,11.641,1,455.981,1.000,0,0.00,3000.0,3235.0,3103.0,131.7,274.2,1314.6,423.1,8057.2
6,2048,139.690,99.310,106.195,59670528,31.85,24.114,9.381,160,393.029,1.000,0,0.62,3000.0,3226.1,3098.0,127.8,280.7,1308.2,420.8,8051.0
7,2048,148.103,125.553,106.880,79810560,34.96,27.909,13.315,146,441.391,1.000,0,0.57,3000.0,3230.1,3101.9,127.8,276.1,1306.1,418.8,8053.3
8,2048,155.478,83.999,127.754,48869376,38.01,19.904,7.820,0,438.473,1.000,0,0.00,3000.0,3223.5,3098.8,124.5,278.4,1321.2,452.3,8043.5
9,2048,136.835,77.645,106.166,44224512,40.92,22.364,8.305,0,388.186,1.000,0,0.00,3000.0,3217.3,3095.8,121.2,281.9,1316.1,450.6,8037.8
10,2048,142.722,109.879,106.363,67768320,43.11,25.062,11.297,16,410.026,1.000,0,0.06,3000.0,3221.0,3099.5,121.2,278.1,1314.6,449.1,8040.2
11,2048,141.389,99.761,104.716,59559936,45.05,27.063,9.610,0,417.624,1.000,0,0.00,3000.0,3223.9,3102.5,121.2,274.8,1306.6,440.5,8042.8
12,2048,140.945,72.894,114.455,43253760,47.14,19.748,6.742,0,403.288,1.000,0,0.00,3000.0,3222.7,3101.2,121.2,275.9,1291.4,424.6,8044.9
13,2048,137.681,64.338,111.039,36126720,49.08,20.663,5.980,0,416.459,1.000,0,0.00,3000.0,3223.9,3102.4,121.2,275.2,1293.1,426.4,8044.9
14,2048,130.254,70.907,106.558,38879232,50.81,17.524,6.173,15,382.168,1.000,0,0.06,3000.0,3222.7,3101.4,121.1,276.1,1294.0,426.4,8042.8
15,2048,149.063,113.559,111.822,68038656,52.24,26.118,11.123,0,474.810,1.000,0,0.00,3000.0,3219.7,3098.8,120.6,279.5,1321.9,455.4,8037.6
16,2048,126.494,56.536,106.627,33263616,53.97,14.742,5.125,0,367.581,1.000,0,0.00,3000.0,3222.0,3101.1,120.6,277.1,1299.4,431.6,8037.2
