# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_ceil_mb=4000 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,798.321,623.484,572.856,527302656,7.18,156.382,69.083,33910,2378.447,-1.000,0,132.46,4000.0,5796.9,4817.0,979.5,395.5,2050.5,286.6,8540.6
2,96,224.870,335.588,85.691,270176256,15.47,107.236,31.943,4,793.260,0.828,0,0.02,4000.0,5794.0,4814.1,979.5,398.9,2044.0,285.1,8529.9
3,96,261.579,382.951,97.072,313049088,21.51,128.026,36.481,75,679.921,0.828,0,0.29,4000.0,5770.8,4806.5,964.0,406.2,2052.1,292.6,8520.5
4,96,382.772,168.375,284.457,165076992,27.72,74.883,23.432,1,1145.334,0.828,0,0.00,4000.0,5759.5,4798.5,960.7,412.8,1982.5,211.5,8559.3
5,96,438.479,354.884,271.255,298967040,31.71,122.207,45.017,1,1401.256,0.828,0,0.00,4000.0,5746.7,4807.8,938.5,402.0,1991.9,223.4,8572.2
6,96,189.480,145.586,91.871,159178752,36.10,77.975,19.634,256,646.396,0.828,0,1.00,4000.0,5744.3,4809.2,934.8,401.4,1988.5,214.9,8572.6
7,96,251.793,356.752,89.595,300994560,38.86,122.970,39.228,76,876.539,0.824,0,0.30,4000.0,5732.6,4812.3,919.9,398.7,1997.4,246.4,8566.2
8,96,167.301,80.461,88.388,113061888,42.42,64.237,14.676,2,571.402,0.824,0,0.01,4000.0,5724.3,4811.8,912.2,400.8,1998.9,266.6,8556.7
9,96,158.268,77.720,87.955,96325632,45.61,56.875,13.438,1,526.598,0.824,0,0.00,4000.0,5714.9,4811.7,902.9,399.4,2005.8,290.0,8552.2
10,96,395.275,766.226,92.129,596680704,45.62,236.141,67.005,1,1056.369,0.824,0,0.00,4000.0,5714.7,4811.6,902.8,398.7,1987.6,276.4,8540.5
11,96,293.851,389.534,103.835,338558976,46.98,153.743,36.273,76,504.788,0.824,0,0.30,4000.0,5715.1,4812.7,902.2,398.8,1986.4,273.9,8533.2
12,96,294.201,261.563,125.691,257716224,48.62,138.393,30.117,1,658.783,0.824,0,0.00,4000.0,5714.2,4813.4,900.5,398.8,1982.1,273.3,8526.7
13,96,255.792,224.759,107.125,233238528,50.19,122.155,26.512,0,469.011,0.824,0,0.00,4000.0,5711.1,4811.4,899.4,398.8,1989.2,280.4,8521.7
14,96,233.965,184.690,107.453,186716160,51.81,106.235,20.278,1,429.634,0.824,0,0.00,4000.0,5710.7,4812.3,898.2,398.8,1991.8,285.4,8516.8
15,96,216.508,111.183,112.826,141631488,53.47,87.544,16.138,75,433.798,0.824,0,0.29,4000.0,5710.3,4812.3,897.8,399.4,1992.2,285.9,8511.3
16,96,297.557,348.188,110.195,323444736,54.24,152.226,35.136,1,590.523,0.824,0,0.00,4000.0,5707.6,4812.2,895.0,399.4,1988.5,279.5,8511.3
17,96,277.882,317.805,107.765,280977408,55.12,141.920,28.197,1,492.262,0.824,0,0.00,4000.0,5703.1,4812.9,889.9,399.4,1978.9,276.5,8504.8
18,96,250.858,229.417,107.389,234049536,56.10,117.270,26.200,3,526.348,0.824,0,0.01,4000.0,5695.2,4807.2,887.7,403.4,2008.5,298.1,8499.1
19,96,227.892,109.383,126.713,134074368,57.35,84.378,16.800,74,529.005,0.824,0,0.29,4000.0,5694.8,4808.1,886.4,403.3,1989.6,281.4,8498.6
