# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,338.481,280.553,57.917,685604864,-1.00,0.000,0.011,0,264.520,-1.000,0,0.00,0.0,5106.9,839.1,4267.4,37.6,5611.4,323.9,9294.9
2,96,335.582,280.028,55.543,685604864,-1.00,0.000,0.010,0,256.352,-1.000,0,0.00,0.0,5106.8,839.0,4267.4,37.6,5610.2,322.7,9294.9
3,96,333.881,278.210,55.662,685604864,-1.00,0.000,0.009,0,264.281,-1.000,0,0.00,0.0,5106.8,839.0,4267.4,37.6,5608.4,320.8,9295.4
4,96,330.664,275.827,54.830,685604864,-1.00,0.000,0.007,0,258.846,-1.000,0,0.00,0.0,5106.7,839.0,4267.4,37.6,5607.0,319.3,9295.7
5,96,346.197,290.194,55.316,685604864,-1.00,0.000,0.686,0,284.251,1.000,0,0.00,0.0,5106.7,839.0,4267.4,37.6,5605.5,317.8,9295.7
6,96,340.513,285.055,55.451,685604864,-1.00,0.000,0.007,0,260.764,1.000,0,0.00,0.0,5106.7,839.0,4267.4,37.6,5604.0,306.2,9296.3
7,96,330.613,274.616,55.987,685604864,-1.00,0.000,0.009,0,260.073,1.000,0,0.00,0.0,5107.0,839.2,4267.4,37.6,5602.9,305.0,9296.3
8,96,333.326,277.583,55.733,685604864,-1.00,0.000,0.010,0,264.958,1.000,0,0.00,0.0,5106.8,839.1,4267.4,37.6,5601.9,304.0,9296.3
9,96,333.085,281.532,51.545,685604864,-1.00,0.000,0.008,0,243.415,1.000,0,0.00,0.0,5106.8,839.1,4267.4,37.6,5600.9,282.9,9297.3
10,96,334.440,284.571,49.860,685604864,-1.00,0.000,0.008,0,240.654,1.000,0,0.00,0.0,5106.8,839.1,4267.4,37.6,5600.4,282.4,9297.8
11,96,331.377,275.425,55.366,685604864,-1.00,0.000,0.586,0,267.215,1.000,0,0.00,0.0,5000.8,839.1,4161.4,37.6,5482.7,282.1,9298.0
12,96,331.336,275.910,55.416,685604864,-1.00,0.000,0.010,0,261.023,1.000,0,0.00,0.0,5000.8,839.1,4161.4,37.6,5492.2,287.7,9298.0
13,96,337.055,282.259,54.786,685604864,-1.00,0.000,0.010,0,265.523,1.000,0,0.00,0.0,5000.7,838.9,4161.4,37.6,5491.4,287.0,9298.0
