# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,105.791,157.704,49.360,108580864,13.55,48.603,7.828,7652,377.302,-1.000,0,29.89,3000.0,5806.2,3542.2,2263.7,65.1,3122.4,158.4,9175.8
2,96,95.703,149.582,40.341,110043136,23.34,47.319,8.043,0,338.174,-1.000,0,0.00,3000.0,5805.5,3541.4,2263.7,65.1,3131.0,170.8,9166.5
3,96,86.671,134.117,37.950,93904896,31.02,41.959,6.762,6,297.120,-1.000,0,0.02,3000.0,5808.3,3546.7,2261.2,65.1,3129.1,180.0,9158.5
4,96,65.957,73.346,38.540,55996416,37.65,22.289,5.129,0,220.309,-1.000,0,0.00,3000.0,5775.4,3542.3,2232.7,65.1,3134.0,214.4,9156.0
5,96,91.892,168.919,37.964,101486592,42.32,45.995,7.932,0,295.163,1.000,0,0.00,3000.0,5778.2,3545.1,2232.7,65.1,3141.2,229.6,9146.5
6,96,53.894,45.840,37.060,30814208,47.06,14.285,2.549,0,170.914,1.000,0,0.00,3000.0,5778.8,3545.7,2232.7,65.1,3142.2,235.5,9141.8
7,96,122.942,213.908,44.225,148439040,49.63,66.371,12.346,6,417.838,1.000,0,0.02,3000.0,5739.1,3545.0,2193.7,65.1,3149.7,287.7,9133.8
8,96,178.477,155.652,129.476,109068288,52.24,40.364,8.637,0,486.519,1.000,0,0.00,3000.0,5720.6,3544.5,2175.7,65.1,3145.3,224.6,9132.5
9,96,154.344,211.557,86.368,155533312,54.00,55.647,12.329,0,476.455,1.000,0,0.00,3000.0,5712.0,3547.0,2164.7,65.1,3141.7,193.2,9128.3
10,96,103.021,114.427,57.071,78741504,56.28,40.013,5.937,0,289.754,1.000,0,0.00,3000.0,5667.6,3546.9,2120.3,65.1,3144.4,243.7,9122.2
11,96,124.999,183.455,52.581,132788224,57.78,62.018,10.401,6,419.190,1.000,0,0.02,3000.0,5546.1,3546.5,1999.2,65.1,3133.3,369.7,9116.3
12,96,101.830,127.723,48.558,101486592,59.38,45.444,7.828,0,198.788,1.000,0,0.00,3000.0,5546.6,3547.0,1999.2,65.1,3083.4,315.9,9117.0
13,96,139.660,220.771,70.026,156995584,60.36,57.399,12.236,0,376.035,1.000,0,0.00,3000.0,5545.6,3546.0,1999.2,65.1,3077.8,300.6,9124.1
14,96,92.776,68.284,64.358,54046720,62.01,24.332,4.086,0,263.080,1.000,0,0.00,3000.0,5545.5,3545.9,1999.2,65.1,3061.6,254.6,9130.1
15,96,152.206,282.780,50.523,205897728,62.43,86.626,15.057,6,499.241,1.000,0,0.02,3000.0,5539.8,3540.2,1999.2,65.1,3070.0,216.1,9130.1
16,96,110.200,190.864,40.230,149413888,63.18,57.393,12.578,0,363.155,1.000,0,0.00,3000.0,5541.1,3541.5,1999.2,65.1,3071.2,213.6,9130.6
17,96,54.054,40.855,36.570,30326784,64.64,14.532,2.952,0,151.244,1.000,0,0.00,3000.0,5540.8,3541.3,1999.2,65.1,3071.4,213.8,9130.6
18,96,56.653,49.923,36.189,38395904,65.92,17.234,3.230,0,169.605,1.000,0,0.00,3000.0,5539.9,3540.3,1999.2,65.1,3069.2,211.6,9130.6
19,96,56.910,50.024,36.136,39370752,67.09,17.593,3.181,7,180.667,1.000,0,0.03,3000.0,5539.9,3540.3,1999.2,65.1,3067.3,209.7,9130.8
20,96,81.167,119.452,37.236,92930048,67.85,36.824,7.107,0,284.976,1.000,0,0.00,3000.0,5539.3,3539.8,1999.2,65.1,3069.9,212.3,9130.8
21,96,87.861,119.887,40.248,92930048,68.56,40.950,6.663,0,301.543,1.000,0,0.00,3000.0,5546.1,3546.5,1999.2,65.1,3058.7,201.0,9130.8
22,96,78.370,82.206,45.655,62603264,69.38,27.426,5.288,0,197.787,1.000,0,0.00,3000.0,5546.8,3547.2,1999.2,65.1,3056.1,198.3,9130.8
23,96,102.420,90.990,65.858,62115840,70.15,31.268,5.294,6,365.380,1.000,0,0.02,3000.0,5546.6,3547.0,1999.2,65.1,3055.4,197.6,9131.1
24,96,72.417,76.388,41.485,62603264,70.86,25.585,5.348,0,231.101,1.000,0,0.00,3000.0,5539.6,3540.0,1999.2,65.1,3063.0,205.2,9131.1
25,96,46.367,19.960,38.063,15650816,71.75,7.370,0.935,0,133.698,1.000,0,0.00,3000.0,5487.8,3547.1,1940.3,65.1,3066.1,280.2,9131.1
26,96,56.412,43.987,36.727,30814208,72.51,17.108,2.577,0,181.173,1.000,0,0.00,3000.0,5406.4,3547.4,1858.7,65.1,3064.9,385.4,9131.3
