# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,574.292,324.711,249.572,686686208,-1.00,0.000,0.009,0,771.828,-1.000,0,0.00,0.0,4672.7,818.7,3853.6,39.0,5355.8,414.2,9521.9
2,96,387.792,320.109,67.674,686686208,-1.00,0.000,0.009,0,230.134,-1.000,0,0.00,0.0,4672.4,818.4,3853.6,39.0,5354.8,409.7,9521.9
3,96,379.834,324.419,55.407,686686208,-1.00,0.000,0.008,0,205.606,-1.000,0,0.00,0.0,4672.7,818.7,3853.6,39.0,5352.8,406.7,9521.9
4,96,386.211,323.499,62.704,686686208,-1.00,0.000,0.008,0,235.587,-1.000,0,0.00,0.0,4672.7,818.7,3853.6,39.0,5351.2,404.5,9521.9
5,96,386.532,327.815,58.090,686686208,-1.00,0.000,0.627,0,223.915,1.000,0,0.00,0.0,4672.8,818.8,3853.6,39.0,5350.1,399.3,9521.9
6,96,392.230,320.867,71.356,686686208,-1.00,0.000,0.007,0,266.991,1.000,0,0.00,0.0,4672.7,818.6,3853.6,39.0,5348.4,395.7,9521.9
7,96,401.358,330.336,71.012,686686208,-1.00,0.000,0.010,0,268.771,1.000,0,0.00,0.0,4672.7,818.6,3853.6,39.0,5351.6,398.8,9521.9
8,96,392.257,326.623,65.626,686686208,-1.00,0.000,0.009,0,254.708,1.000,0,0.00,0.0,4672.7,818.6,3853.6,39.0,5350.3,397.5,9521.9
9,96,385.173,328.350,56.815,686686208,-1.00,0.000,0.008,0,218.787,1.000,0,0.00,0.0,4672.7,818.6,3853.6,39.0,5348.5,392.4,9521.9
10,96,397.557,335.912,61.637,686686208,-1.00,0.000,0.008,0,230.409,1.000,0,0.00,0.0,4672.7,818.6,3853.6,39.0,5348.0,388.6,9521.9
11,96,366.642,319.294,46.746,686686208,-1.00,0.000,0.602,0,189.664,1.000,0,0.00,0.0,4672.6,818.6,3853.6,39.0,5337.2,387.6,9521.9
12,96,377.632,318.331,59.295,686686208,-1.00,0.000,0.007,0,221.228,1.000,0,0.00,0.0,4672.6,818.6,3853.6,39.0,5335.2,385.2,9522.2
13,96,402.423,328.741,73.674,686686208,-1.00,0.000,0.007,0,262.801,1.000,0,0.00,0.0,4672.9,818.9,3853.6,39.0,5360.1,408.5,9522.4
14,96,384.799,324.859,59.933,686686208,-1.00,0.000,0.007,0,223.653,1.000,0,0.00,0.0,4672.6,818.6,3853.6,39.0,5358.2,406.6,9522.4
15,96,393.352,335.446,57.899,686686208,-1.00,0.000,0.007,0,232.447,1.000,0,0.00,0.0,4672.8,818.7,3853.6,39.0,5357.2,405.6,9522.4
16,96,402.303,327.464,74.832,686686208,-1.00,0.000,0.007,0,282.941,1.000,0,0.00,0.0,4672.7,818.7,3853.6,39.0,5355.7,404.1,9522.4
17,96,376.833,319.427,56.796,686686208,-1.00,0.000,0.611,0,218.194,1.000,0,0.00,0.0,4672.6,818.6,3853.6,39.0,5354.5,402.9,9522.7
18,96,413.543,335.586,77.949,686686208,-1.00,0.000,0.009,0,268.646,1.000,0,0.00,0.0,4672.6,818.6,3853.6,39.0,5359.2,394.1,9522.9
19,96,468.129,347.263,120.849,686686208,-1.00,0.000,0.018,0,373.440,1.000,0,0.00,0.0,4637.7,818.6,3818.7,39.0,5278.4,313.7,9532.3
20,96,404.809,348.889,55.905,686686208,-1.00,0.000,0.014,0,211.087,1.000,0,0.00,0.0,4637.7,818.6,3818.7,39.0,5321.6,261.4,9532.8
21,96,506.555,340.264,166.278,686686208,-1.00,0.000,0.013,0,434.685,1.000,0,0.00,0.0,4567.3,818.5,3748.5,39.2,5388.3,351.5,9534.6
22,96,375.824,320.552,55.266,686686208,-1.00,0.000,0.006,0,216.219,1.000,0,0.00,0.0,4567.2,818.3,3748.5,39.2,5386.3,347.9,9534.6
23,96,380.446,328.270,51.577,686686208,-1.00,0.000,0.599,0,213.931,1.000,0,0.00,0.0,4567.5,818.6,3748.5,39.2,5384.7,345.8,9535.4
24,96,368.914,321.839,47.066,686686208,-1.00,0.000,0.009,0,198.533,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5383.8,343.8,9535.4
25,96,369.386,317.628,51.749,686686208,-1.00,0.000,0.009,0,201.075,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5383.9,344.0,9535.4
26,96,386.368,321.665,64.694,686686208,-1.00,0.000,0.009,0,246.727,1.000,0,0.00,0.0,4567.5,818.6,3748.5,39.2,5382.2,342.2,9535.4
27,96,368.433,321.551,46.872,686686208,-1.00,0.000,0.010,0,196.943,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5380.6,340.0,9535.4
28,96,369.038,322.770,46.259,686686208,-1.00,0.000,0.009,0,180.527,1.000,0,0.00,0.0,4567.2,818.3,3748.5,39.2,5380.0,339.5,9535.4
29,96,410.233,333.610,76.170,686686208,-1.00,0.000,0.454,0,295.506,1.000,0,0.00,0.0,4567.4,818.5,3748.5,39.2,5377.8,337.3,9535.4
30,96,381.259,326.110,55.142,686686208,-1.00,0.000,0.006,0,217.265,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5376.7,335.7,9535.4
31,96,370.829,318.086,52.735,686686208,-1.00,0.000,0.008,0,201.466,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5378.8,337.8,9535.4
32,96,412.560,328.364,84.186,686686208,-1.00,0.000,0.010,0,309.258,1.000,0,0.00,0.0,4567.4,818.5,3748.5,39.2,5376.3,333.9,9535.7
33,96,382.949,328.339,54.602,686686208,-1.00,0.000,0.008,0,211.845,1.000,0,0.00,0.0,4567.3,818.4,3748.5,39.2,5378.3,335.4,9536.0
34,96,443.610,335.014,108.065,686686208,-1.00,0.000,0.531,0,380.621,1.000,0,0.00,0.0,4512.0,818.4,3693.2,39.2,5314.1,332.2,9536.0
35,96,386.222,322.922,63.291,686686208,-1.00,0.000,0.008,0,238.264,1.000,0,0.00,0.0,4512.1,818.5,3693.2,39.2,5312.6,330.8,9536.0
36,96,367.877,319.427,48.440,686686208,-1.00,0.000,0.010,0,200.733,1.000,0,0.00,0.0,4512.3,818.6,3693.2,39.2,5313.1,329.8,9536.0
37,96,399.468,331.759,67.702,686686208,-1.00,0.000,0.007,0,258.958,1.000,0,0.00,0.0,4512.3,818.6,3693.2,39.2,5314.8,331.5,9536.0
38,96,376.710,327.716,48.987,686686208,-1.00,0.000,0.007,0,202.589,1.000,0,0.00,0.0,4512.3,818.6,3693.2,39.2,5313.6,330.3,9536.0
39,96,373.871,318.789,55.075,686686208,-1.00,0.000,0.007,0,216.840,1.000,0,0.00,0.0,4512.3,818.6,3693.2,39.2,5314.9,331.6,9536.0
40,96,382.100,322.057,59.390,686686208,-1.00,0.000,0.653,0,236.084,1.000,0,0.00,0.0,4512.3,818.6,3693.2,39.2,5315.3,329.9,9536.2
41,96,366.901,316.605,50.286,686686208,-1.00,0.000,0.010,0,210.107,1.000,0,0.00,0.0,4512.1,818.5,3693.2,39.2,5315.7,330.3,9536.2
42,96,384.484,321.307,63.168,686686208,-1.00,0.000,0.009,0,250.187,1.000,0,0.00,0.0,4512.1,818.5,3693.2,39.2,5315.7,329.8,9536.2
43,96,386.867,320.846,66.012,686686208,-1.00,0.000,0.008,0,247.725,1.000,0,0.00,0.0,4512.0,818.3,3693.2,39.2,5314.7,328.8,9536.2
44,96,406.802,333.355,73.435,686686208,-1.00,0.000,0.012,0,274.552,1.000,0,0.00,0.0,4512.2,818.6,3693.2,39.2,5327.3,323.3,9537.6
45,96,440.254,326.863,113.379,686686208,-1.00,0.000,0.012,0,371.252,1.000,0,0.00,0.0,4512.4,818.7,3693.2,39.2,5363.7,315.1,9545.4
46,96,384.098,320.216,63.285,686686208,-1.00,0.000,0.597,0,241.690,1.000,0,0.00,0.0,4512.0,818.3,3693.2,39.2,5365.3,316.5,9545.4
47,96,385.051,323.916,61.125,686686208,-1.00,0.000,0.010,0,258.984,1.000,0,0.00,0.0,4512.1,818.4,3693.2,39.2,5365.1,316.3,9546.2
48,96,379.855,327.539,52.309,686686208,-1.00,0.000,0.006,0,219.600,1.000,0,0.00,0.0,4511.8,818.2,3693.2,39.2,5365.1,316.3,9546.2
49,96,409.701,331.480,78.212,686686208,-1.00,0.000,0.009,0,287.200,1.000,0,0.00,0.0,4512.1,818.4,3693.2,39.2,5375.6,326.8,9546.2
50,96,391.843,322.039,69.792,686686208,-1.00,0.000,0.012,0,244.544,1.000,0,0.00,0.0,4458.3,818.4,3639.5,39.2,5357.3,372.6,9546.4
51,96,391.042,324.855,66.177,686686208,-1.00,0.000,0.010,0,248.117,1.000,0,0.00,0.0,4458.3,818.4,3639.5,39.2,5366.5,381.7,9546.4
