# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_ceil_mb=4000 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,280.588,617.528,87.339,529563648,7.18,144.146,49.104,2738,1073.263,-1.000,0,10.70,4000.0,5662.5,5012.8,649.4,192.5,1977.7,190.3,8648.6
2,96,229.692,339.418,130.053,271331328,15.47,71.810,27.829,3,792.427,0.824,0,0.01,4000.0,5648.6,5003.0,645.3,202.9,1991.4,237.1,8627.1
3,96,213.012,395.874,98.591,314400256,21.51,83.389,31.033,1,753.179,0.824,0,0.00,4000.0,5542.1,4903.0,638.8,302.9,2076.2,341.1,8524.1
4,96,141.111,209.146,77.526,165777408,27.72,46.793,16.792,1,469.284,0.824,0,0.00,4000.0,5533.2,4894.1,638.8,310.0,2079.1,343.4,8516.8
5,96,204.802,415.762,80.522,300257280,31.71,95.571,28.710,1,749.086,0.824,0,0.00,4000.0,5523.7,4884.6,638.8,318.8,2088.6,342.7,8506.8
6,96,165.230,212.931,102.852,159866880,36.10,45.495,16.882,1,548.801,0.824,0,0.00,4000.0,5524.1,4885.1,638.8,318.6,2084.5,338.6,8505.3
7,96,194.794,387.067,79.721,302284800,38.86,83.581,31.492,2,707.812,0.824,0,0.01,4000.0,5524.4,4885.3,638.8,318.6,2082.1,336.1,8502.6
8,96,128.890,155.589,79.357,113553408,42.42,38.455,11.078,3,429.663,0.824,0,0.01,4000.0,5526.2,4887.1,638.8,318.6,2076.8,330.4,8503.6
9,96,123.383,130.708,79.424,96743424,45.61,34.064,9.895,1,406.055,0.824,0,0.00,4000.0,5524.8,4885.7,638.8,318.6,2075.2,328.8,8503.6
10,96,292.525,732.807,77.039,599236608,45.62,160.056,55.431,1,1140.747,0.824,0,0.00,4000.0,5524.3,4885.2,638.8,318.6,2072.6,325.3,8503.6
