step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,24,12851.389,0.000,12851.389,0,-1.00,0.000,0.000
2,24,12340.706,0.000,12340.706,0,-1.00,0.000,0.000
3,24,12600.877,0.000,12600.877,0,-1.00,0.000,0.000
4,24,12980.022,0.000,12980.022,0,-1.00,0.000,0.000
5,24,12889.245,0.000,12889.245,0,-1.00,0.000,0.000
6,24,12986.263,0.000,12986.263,0,-1.00,0.000,0.000
7,24,12591.313,0.000,12591.313,0,-1.00,0.000,0.000
8,24,12213.513,0.000,12213.513,0,-1.00,0.000,0.000
9,24,12141.515,0.000,12141.515,0,-1.00,0.000,0.000
10,24,12749.025,0.000,12749.025,0,-1.00,0.000,0.000
11,24,13289.857,0.000,13289.857,0,-1.00,0.000,0.000
12,24,12944.171,0.000,12944.171,0,-1.00,0.000,0.000
13,24,13585.060,0.000,13585.060,0,-1.00,0.000,0.000
14,24,14120.984,0.000,14120.984,0,-1.00,0.000,0.000
15,24,14369.549,0.000,14369.549,0,-1.00,0.000,0.000
16,24,14187.636,0.000,14187.636,0,-1.00,0.000,0.000
17,24,13698.601,0.000,13698.601,0,-1.00,0.000,0.000
18,24,14161.757,0.000,14161.757,0,-1.00,0.000,0.000
19,24,13497.444,0.000,13497.444,0,-1.00,0.000,0.000
20,24,14166.235,0.000,14166.235,0,-1.00,0.000,0.000
21,24,14005.109,0.000,14005.109,0,-1.00,0.000,0.000
22,24,13980.829,0.000,13980.829,0,-1.00,0.000,0.000
23,24,13794.300,0.000,13794.300,0,-1.00,0.000,0.000
24,24,13933.865,0.000,13933.865,0,-1.00,0.000,0.000
# summary tokens=24 s/tok=13.337 tok/s=0.075 read_MiB=0.0 io_s=0.00 compute_s/tok=0.000 io_s/tok=0.000 cache_hit_pct=-1.0 n_prompt=85 load_s=45.372 prefill_s=32.004 prefill_tps=2.66 stall_s/tok=0.000 mgmt_s/tok=0.000 cache_resident_MiB=0.0 cache_budget_MiB=0.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
