step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
99,256,221.219,202.384,131.440,153092096,77.19,72.543,17.237
100,256,184.284,167.199,117.591,117952512,77.30,53.837,12.856
101,256,212.710,265.593,113.808,196435968,77.31,76.031,22.871
102,256,288.211,517.480,122.581,349478912,77.18,127.624,38.005
103,256,252.289,330.529,134.176,241254400,77.16,89.958,28.155
104,256,247.902,379.695,117.029,270262272,77.12,99.494,31.379
105,256,199.807,120.109,137.451,92356608,77.23,50.507,11.849
106,256,217.718,186.749,135.674,138686464,77.30,66.546,15.497
107,256,160.711,57.256,124.720,53514240,77.45,30.175,5.816
108,256,241.681,280.969,132.209,204410880,77.46,87.798,21.674
109,256,254.958,305.248,139.039,213876736,77.46,93.951,21.967
110,256,223.597,226.701,128.391,178528256,77.50,76.633,18.572
111,256,239.269,307.505,125.003,217542656,77.50,91.469,22.796
112,256,212.009,225.346,122.038,166252544,77.54,73.371,16.600
113,256,253.557,358.498,131.179,248336384,77.51,98.458,23.920
114,256,224.478,254.215,125.323,185126912,77.54,80.433,18.722
115,256,215.858,220.139,128.826,155463680,77.59,70.481,16.551
116,256,190.679,132.717,128.757,105549824,77.69,50.826,11.096
117,256,228.654,260.939,129.175,189239296,77.70,79.870,19.608
118,256,180.572,172.611,114.723,128634880,77.78,50.261,15.589
119,256,180.031,184.318,110.729,132841472,77.84,54.480,14.822
120,256,203.745,220.800,116.798,158908416,77.88,68.750,18.196
121,256,202.224,211.848,110.040,169852928,77.92,72.942,19.242
122,256,164.142,126.158,111.242,94609408,78.01,41.849,11.051
123,256,246.488,288.624,133.927,191479808,78.03,89.947,22.614
124,256,199.573,122.436,135.891,96845824,78.12,52.458,11.224
125,256,173.896,159.501,111.029,111239168,78.19,49.670,13.197
126,256,145.149,91.837,109.955,62218240,78.31,27.000,8.194
127,256,197.157,179.219,129.081,126402560,78.37,55.083,12.994
128,256,200.659,115.059,137.733,99053568,78.46,52.084,10.842
129,256,192.017,147.011,126.381,108249088,78.53,55.223,10.413
130,256,169.020,83.431,124.875,73625600,78.63,36.099,8.046
131,256,168.650,110.503,124.540,79572992,78.72,36.095,8.014
132,256,145.387,44.324,121.094,36880384,78.85,20.154,4.139
133,256,187.988,136.258,128.054,99586048,78.92,48.029,11.905
134,256,169.987,112.308,124.261,79593472,79.01,37.075,8.651
135,256,208.590,190.878,127.105,148852736,79.05,66.239,15.246
136,256,143.205,47.264,120.873,36130816,79.17,18.672,3.660
137,256,220.001,260.219,122.378,192077824,79.18,78.535,19.088
138,256,304.914,530.915,134.251,379920384,79.04,131.040,39.623
139,256,190.334,145.580,125.598,113332224,79.11,53.465,11.271
140,256,177.906,82.928,126.547,76603392,79.19,43.024,8.336
141,256,256.802,270.355,167.761,192819200,79.20,69.804,19.237
142,256,214.812,273.692,114.913,195805184,79.20,75.974,23.926
143,256,249.235,369.310,116.955,257265664,79.16,101.994,30.285
144,256,238.554,374.996,113.269,258621440,79.12,94.853,30.432
145,256,178.657,167.245,111.333,121311232,79.17,53.092,14.232
146,256,175.963,148.859,119.777,104038400,79.24,43.812,12.374
147,256,469.285,279.675,367.549,202326016,79.23,78.202,23.534
148,256,473.210,224.611,387.358,156057600,79.26,67.304,18.548
149,256,196.940,212.928,112.019,148250624,79.30,67.443,17.478
150,256,231.647,220.613,142.886,145911808,79.33,70.963,17.798
151,256,223.202,224.403,133.749,159682560,79.36,70.890,18.563
152,256,163.071,107.829,112.383,80924672,79.44,39.426,11.262
153,256,300.482,124.398,243.795,94732288,79.50,36.511,20.177
154,256,223.271,186.283,147.626,135860224,79.54,57.974,17.671
155,256,153.714,89.147,112.863,64331776,79.63,32.677,8.175
156,256,226.328,165.900,132.157,134336512,79.67,77.584,16.587
157,256,153.960,94.578,113.001,66547712,79.75,32.101,8.858
158,256,201.049,157.447,125.428,119951360,79.79,60.772,14.849
159,256,196.242,223.287,110.751,159690752,79.82,66.011,19.480
160,256,206.717,138.512,133.652,108380160,79.87,59.391,13.674
161,256,180.288,164.589,114.104,112001024,79.92,52.453,13.730
162,256,149.500,75.651,111.437,59953152,80.00,30.457,7.606
163,256,127.254,22.786,111.991,19480576,80.11,12.232,3.032
164,256,175.097,96.571,127.058,67170304,80.18,40.127,7.912
165,256,144.358,52.956,113.724,45449216,80.27,24.681,5.953
166,256,147.296,71.377,110.187,57851904,80.35,29.565,7.544
167,256,423.596,119.912,371.990,91762688,80.40,40.512,11.094
168,256,176.119,68.416,131.795,53506048,80.48,37.091,7.233
169,256,189.979,182.763,112.194,138059776,80.51,61.216,16.570
170,256,175.323,70.942,134.740,51896320,80.59,33.517,7.067
171,256,268.851,362.862,136.154,238505984,80.56,106.916,25.781
172,256,207.872,150.076,135.456,116973568,80.60,59.284,13.131
173,256,214.649,269.516,114.297,197939200,80.59,77.122,23.230
174,256,177.542,182.056,110.725,127991808,80.63,51.239,15.577
175,256,212.013,194.124,130.000,136679424,80.66,66.075,15.938
176,256,231.052,252.721,132.979,180531200,80.66,78.044,20.029
177,256,206.322,228.545,118.745,170479616,80.67,68.043,19.534
178,256,156.563,93.942,115.519,70139904,80.73,32.313,8.730
179,256,132.217,49.925,108.326,39714816,80.81,18.575,5.316
180,256,160.785,113.391,109.603,91029504,80.86,39.731,11.450
181,256,175.349,118.854,119.374,89649152,80.92,44.503,11.472
182,256,351.480,184.385,273.234,126517248,80.95,62.553,15.693
183,256,183.985,189.899,111.870,130252800,80.98,56.873,15.242
184,256,150.569,75.155,115.162,59994112,81.05,28.349,7.058
185,256,242.167,398.568,111.959,284454912,80.99,98.159,32.049
186,256,235.108,270.754,129.731,191553536,80.99,82.147,23.230
187,256,170.440,146.287,113.416,99061760,81.03,44.885,12.139
188,256,205.678,138.686,134.051,101941248,81.08,60.187,11.440
189,256,181.119,105.564,127.624,84553728,81.13,45.150,8.346
190,256,197.442,204.876,129.640,138715136,81.15,54.613,13.189
191,256,208.702,126.040,145.955,102666240,81.19,51.610,11.137
192,256,130.712,33.331,113.393,20234240,81.28,14.251,3.067
193,256,170.689,86.949,123.685,61452288,81.34,39.414,7.590
194,256,180.444,143.874,113.940,118464512,81.37,52.040,14.465
195,256,170.407,140.651,111.955,107642880,81.40,45.796,12.656
196,256,174.515,90.432,130.890,68661248,81.46,36.106,7.519
197,256,184.627,176.625,111.392,136474624,81.48,57.437,15.798
198,256,221.046,231.078,131.126,160313344,81.49,71.653,18.267
199,256,180.708,152.326,117.010,115720192,81.52,49.966,13.732
200,256,205.574,223.682,118.901,163151872,81.52,67.573,19.101
201,256,178.404,99.792,123.157,85278720,81.57,45.013,10.234
202,256,199.192,170.553,128.698,126382080,81.60,55.277,15.217
203,256,485.296,265.472,386.380,174784512,81.60,78.510,20.406
204,256,211.415,206.252,130.060,141570048,81.61,66.783,14.572
205,256,231.875,269.301,130.747,197165056,81.60,81.080,20.048
206,256,194.085,167.416,129.211,118571008,81.63,52.457,12.417
207,256,214.393,211.671,130.377,149606400,81.64,68.365,15.650
208,256,253.444,365.812,126.758,257138688,81.60,100.793,25.893
209,256,195.615,156.796,126.196,116359168,81.63,57.811,11.609
210,256,174.788,132.546,121.671,99078144,81.67,42.952,10.164
211,256,243.151,295.506,129.826,224702464,81.65,89.599,23.725
212,256,202.156,192.447,126.317,146018304,81.66,60.858,14.981
213,256,195.274,207.631,114.205,156164096,81.67,63.322,17.747
214,256,202.673,126.319,138.768,88170496,81.72,53.473,10.431
215,256,186.887,155.087,125.323,116355072,81.74,48.054,13.511
216,256,191.518,172.325,117.820,126402560,81.77,58.583,15.116
217,256,215.456,219.978,119.753,173432832,81.77,75.507,20.197
218,256,200.741,107.361,140.496,86659072,81.81,48.960,11.285
219,256,154.605,86.820,115.745,62947328,81.86,30.980,7.880
220,256,230.693,163.184,155.827,120561664,81.88,60.793,14.073
221,256,164.739,123.938,115.600,86028288,81.92,38.288,10.851
222,256,151.828,72.564,112.481,64315392,81.97,31.537,7.810
223,256,215.654,150.685,153.472,96079872,82.01,50.461,11.721
224,256,141.165,41.368,116.552,36876288,82.07,19.474,5.139
225,256,135.389,31.355,113.903,23838720,82.14,18.274,3.212
226,256,172.536,54.671,134.286,47681536,82.19,32.149,6.101
227,256,140.834,45.279,116.660,37601280,82.25,19.961,4.214
228,256,170.080,24.164,150.722,19496960,82.32,16.035,3.323
229,256,204.609,82.296,157.581,59969536,82.36,38.718,8.310
230,256,169.124,129.683,118.739,93982720,82.40,39.637,10.749
231,256,246.393,306.352,135.732,214540288,82.38,88.867,21.794
232,256,258.840,376.055,130.251,265715712,82.33,99.974,28.616
233,256,235.125,297.393,131.282,205213696,82.32,80.243,23.600
234,256,250.329,298.426,141.251,201478144,82.30,87.400,21.678
