step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
99,256,257.877,349.443,128.011,246325248,68.51,101.005,28.862
100,256,267.259,351.915,131.791,247947264,68.57,106.048,29.421
101,256,359.811,676.583,144.772,474402816,68.39,160.263,54.775
102,256,352.823,665.237,135.480,476598272,68.22,161.406,55.937
103,256,300.970,501.624,133.078,357564416,68.17,125.888,42.004
104,256,311.807,506.054,139.271,359915520,68.12,129.784,42.752
105,256,228.408,199.745,137.741,145129472,68.27,73.377,17.291
106,256,243.150,291.425,129.454,215904256,68.35,88.594,25.102
107,256,271.858,365.586,135.072,272367616,68.37,104.306,32.480
108,256,594.239,572.483,403.693,402460672,68.28,142.052,48.494
109,256,261.461,331.806,134.887,234106880,68.35,97.409,29.165
110,256,279.378,388.196,143.744,286175232,68.37,100.817,34.817
111,256,286.028,412.913,133.890,283230208,68.38,118.864,33.274
112,256,265.886,356.006,132.487,255787008,68.43,103.645,29.754
113,256,535.235,535.199,372.582,368254976,68.36,121.592,41.060
114,256,265.435,299.374,139.911,226340864,68.43,97.621,27.903
115,256,255.584,340.444,130.106,236404736,68.49,98.211,27.267
116,256,250.113,248.034,148.898,173461504,68.60,79.431,21.783
117,256,283.329,411.542,137.897,283836416,68.61,111.264,34.168
118,256,236.910,283.261,129.889,195067904,68.70,84.352,22.669
119,256,261.116,351.300,132.962,250650624,68.74,97.938,30.216
120,256,548.979,426.384,399.082,295362560,68.74,114.000,35.897
121,256,271.322,386.474,130.121,283332608,68.76,108.300,32.901
122,256,242.433,349.876,121.448,243490816,68.80,93.068,27.916
123,256,264.823,380.073,129.294,260014080,68.83,104.885,30.644
124,256,232.488,205.791,143.846,145891328,68.95,70.580,18.062
125,256,247.197,306.350,128.699,205840384,69.02,94.532,23.966
126,256,231.830,246.789,134.440,173436928,69.12,76.453,20.937
127,256,213.063,256.598,117.302,189980672,69.20,73.132,22.628
128,256,233.673,203.636,137.679,156143616,69.31,75.926,20.069
129,256,307.236,507.953,137.381,343642112,69.27,129.463,40.392
130,256,253.073,281.481,138.699,191336448,69.34,91.875,22.499
131,256,184.069,162.844,118.706,120057856,69.47,50.825,14.538
132,256,209.958,110.467,147.885,80216064,69.63,51.231,10.842
133,256,253.994,301.120,138.003,212209664,69.68,90.174,25.817
134,256,248.115,263.503,142.548,186494976,69.76,83.070,22.497
135,256,260.126,331.671,131.752,230424576,69.81,101.026,27.348
136,256,482.163,95.431,429.444,71520256,69.96,43.010,9.710
137,256,260.887,371.468,125.635,273043456,69.97,102.409,32.843
138,256,606.737,635.124,395.261,445722624,69.86,158.270,53.207
139,256,251.696,317.604,132.647,227438592,69.90,92.461,26.588
140,256,214.414,165.776,129.894,133722112,70.01,67.959,16.561
141,256,266.259,360.790,134.395,262082560,70.02,101.452,30.412
142,256,287.623,454.254,129.103,327909376,69.99,120.871,37.649
143,256,298.038,494.125,130.545,343928832,69.95,125.834,41.659
144,256,296.194,468.782,134.858,325775360,69.93,123.103,38.233
145,256,206.021,225.268,120.543,161792000,70.01,65.800,19.679
146,256,199.366,216.957,119.134,162512896,70.10,61.072,19.160
