step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
99,256,172.643,295.091,85.991,234233856,71.23,58.419,28.233
100,256,208.655,402.759,88.692,323555328,71.23,81.139,38.824
101,256,190.036,343.691,87.245,278286336,71.27,68.367,34.424
102,256,149.329,200.182,86.515,155516928,71.40,43.370,19.444
103,256,182.881,323.796,87.423,263331840,71.45,63.627,31.831
104,256,140.501,161.736,88.587,129896448,71.60,35.470,16.444
105,256,183.269,317.915,86.657,249999360,71.65,66.795,29.816
106,256,116.814,98.423,85.300,70717440,71.85,21.986,9.528
107,256,204.215,401.733,86.041,322510848,71.84,79.856,38.319
108,256,147.843,179.261,92.353,138940416,71.98,38.018,17.471
109,256,121.900,101.572,87.137,77266944,72.16,24.487,10.276
110,256,143.728,162.125,90.492,126652416,72.30,37.453,15.783
111,256,159.796,237.148,87.932,183226368,72.39,49.542,22.322
112,256,162.559,247.792,87.775,194641920,72.48,51.033,23.752
113,256,256.059,570.988,89.695,472350720,72.35,108.532,57.831
114,256,158.657,227.811,89.068,181776384,72.45,47.508,22.081
115,256,274.768,631.701,87.718,517386240,72.29,124.128,62.922
116,256,144.648,185.774,87.107,147750912,72.41,38.545,18.996
117,256,129.307,117.461,90.275,88510464,72.57,27.564,11.468
118,256,224.871,417.664,108.830,334454784,72.55,78.180,37.860
119,256,221.379,406.859,109.684,318689280,72.54,76.962,34.733
120,256,300.517,682.399,131.440,556400640,72.36,109.833,59.243
121,256,261.892,547.200,115.193,446091264,72.26,99.086,47.614
122,256,181.119,245.848,104.017,188153856,72.34,56.211,20.891
123,256,221.324,417.369,101.448,335671296,72.32,82.837,37.039
124,256,212.692,342.907,116.898,264142848,72.36,66.304,29.491
125,256,223.039,421.089,103.497,334626816,72.34,82.302,37.240
126,256,220.060,415.947,109.357,327499776,72.32,75.132,35.571
127,256,159.388,183.928,98.050,139345920,72.44,46.342,14.996
128,256,153.672,197.873,91.667,154300416,72.54,45.111,16.894
129,256,115.950,91.334,85.270,70078464,72.69,22.019,8.661
130,256,127.389,110.352,91.859,78311424,72.84,24.963,10.567
131,256,111.295,77.475,84.607,61267968,72.99,18.007,8.681
132,256,303.170,140.128,259.431,102076416,73.12,30.559,13.180
133,256,176.242,297.194,89.370,239161344,73.16,57.009,29.863
134,256,115.991,65.964,93.444,43646976,73.32,16.179,6.367
135,256,94.477,23.465,86.029,14954496,73.50,5.600,2.849
136,256,135.852,163.677,84.779,130535424,73.60,34.354,16.719
137,256,104.979,60.545,84.612,40169472,73.76,14.401,5.966
138,256,164.869,253.279,88.103,202469376,73.81,51.928,24.838
139,256,119.800,99.192,85.785,75177984,73.95,23.638,10.378
140,256,100.111,45.107,83.882,30953472,74.10,11.417,4.812
141,256,93.934,28.063,83.415,17620992,74.27,7.263,3.256
142,256,109.350,68.782,84.197,45502464,74.41,18.680,6.473
143,256,97.988,33.461,86.485,24170496,74.57,7.388,4.115
144,256,130.984,131.008,90.233,101031936,74.68,27.594,13.157
145,256,110.698,73.834,85.722,52457472,74.81,17.138,7.837
146,256,138.248,158.766,86.205,124796928,74.90,35.968,16.075
147,256,109.831,68.854,85.269,47124480,75.04,17.816,6.745
148,256,136.813,139.714,91.680,106131456,75.14,31.066,14.067
149,256,244.534,535.304,88.913,434270208,75.04,102.691,52.930
150,256,219.270,409.430,101.511,332021760,75.01,77.225,40.534
151,256,175.040,249.589,99.811,192847872,75.06,54.025,21.203
152,256,182.078,268.227,99.269,212324352,75.09,59.542,23.268
153,256,305.456,658.280,119.017,534196224,74.95,126.913,59.526
154,256,191.964,308.047,102.114,239099904,74.98,63.637,26.212
155,256,161.671,206.513,95.843,158822400,75.04,48.139,17.690
156,256,169.683,232.581,96.585,176037888,75.10,53.088,20.010
157,256,195.211,288.089,108.330,220090368,75.13,64.784,22.097
158,256,205.304,296.679,128.101,221712384,75.16,54.661,22.541
159,256,124.931,87.189,93.162,63528960,75.27,24.012,7.756
160,256,116.241,64.880,90.119,46313472,75.40,20.717,5.405
161,256,126.254,92.487,91.883,71933952,75.50,25.959,8.412
162,256,105.342,35.530,91.428,22548480,75.64,10.827,3.088
163,256,134.108,149.330,87.356,115986432,75.72,31.874,14.878
164,256,211.602,418.459,89.989,333643776,75.68,79.967,41.646
165,256,119.873,100.971,87.251,74600448,75.79,22.420,10.203
166,256,97.650,24.855,87.477,17215488,75.92,6.920,3.253
167,256,436.988,572.747,270.671,471539712,75.81,108.641,57.676
168,256,199.112,368.927,90.167,297762816,75.80,72.141,36.804
169,256,395.923,227.507,324.027,151867392,75.85,51.141,20.756
170,256,157.078,210.439,90.113,161894400,75.91,46.858,20.106
171,256,656.552,492.132,500.306,344309760,75.87,112.000,44.246
172,256,239.652,140.231,194.552,100798464,75.95,30.353,14.746
173,256,350.100,123.104,303.755,66195456,76.05,36.494,9.851
